id,category,price,utility
1,Dairy,1.03,1
2,Snacks,27.58,9
3,Dairy,18.09,3
4,Household,3.65,9
5,Household,26.12,7
6,Household,10.89,2
7,Snacks,24.88,3
8,Household,45.9,2
9,Frozen,1.46,10
10,Pantry,32.92,9
11,Dairy,47.4,9
12,Pantry,34.71,6
13,Household,25.32,5
14,Pantry,48.56,2
15,Frozen,4.79,6
16,Snacks,7.71,2
17,Dairy,19.18,5
18,Household,2.31,9
19,Household,23.97,1
20,Household,34.09,7
21,Pantry,1.21,10
22,Meat,3.22,8
23,Snacks,4.44,2
24,Pantry,28.34,10
25,Frozen,7.42,3
26,Hygiene,1.4,1
27,Snacks,20.29,7
28,Dairy,8.25,8
29,Pantry,47.21,1
30,Dairy,23.77,5
31,Meat,1.61,8
32,Produce,45.58,5
33,Snacks,13.63,4
34,Pantry,35.71,4
35,Snacks,7.85,3
36,Produce,18.58,2
37,Meat,38.84,5
38,Household,1.16,2
39,Dairy,27.25,9
40,Snacks,1.81,9
41,Snacks,4.44,7
42,Household,43.28,4
43,Pantry,8.8,6
44,Hygiene,40.66,4
45,Household,1.2,2
46,Household,17.97,5
47,Produce,3.57,6
48,Dairy,13.95,3
49,Household,15.25,10
50,Hygiene,3.89,7
51,Household,1.44,6
52,Frozen,9.28,1
53,Dairy,1.18,2
54,Household,2.8,3
55,Frozen,2.65,2
56,Hygiene,32.99,2
57,Produce,21.84,1
58,Dairy,43.05,3
59,Frozen,12.56,3
60,Produce,2.33,1
61,Pantry,43.06,5
62,Frozen,24.78,9
63,Hygiene,2.17,1
64,Produce,28.41,7
65,Hygiene,13.39,3
66,Produce,46.23,9
67,Dairy,18.35,4
68,Frozen,1.7,4
69,Produce,19.8,10
70,Meat,43.81,10
71,Meat,3.79,5
72,Hygiene,5.9,2
73,Produce,11.29,2
74,Dairy,15.16,3
75,Meat,39.02,6
76,Pantry,2.22,5
77,Produce,22.86,2
78,Snacks,4.43,9
79,Snacks,4.63,6
80,Household,24.16,9
81,Hygiene,4.09,1
82,Dairy,20.71,1
83,Produce,6.45,2
84,Snacks,27.92,7
85,Produce,1.61,3
86,Produce,35.13,3
87,Frozen,1.8,1
88,Meat,3.16,1
89,Meat,30.82,7
90,Snacks,42.99,8
91,Snacks,39.07,9
92,Meat,30.99,4
93,Pantry,2.24,7
94,Produce,37.12,8
95,Meat,5.56,4
96,Household,1.03,1
97,Pantry,37.61,5
98,Meat,21.16,9
99,Meat,44.23,9
100,Snacks,17.52,1
101,Dairy,18.44,6
102,Frozen,19.01,7
103,Household,4.18,1
104,Household,7.5,3
105,Meat,20.03,2
106,Pantry,13.6,6
107,Frozen,24.82,4
108,Frozen,22.66,3
109,Pantry,9.08,5
110,Pantry,3.16,10
111,Meat,11.59,4
112,Hygiene,31.87,3
113,Dairy,4.95,10
114,Meat,1.43,4
115,Pantry,3.47,1
116,Produce,3.94,2
117,Hygiene,9.42,4
118,Frozen,12.98,4
119,Produce,40.05,2
120,Frozen,3.35,9
121,Hygiene,1.12,1
122,Hygiene,1.87,9
123,Meat,45.23,10
124,Frozen,34.8,3
125,Hygiene,10.93,5
126,Hygiene,20.25,4
127,Pantry,3.69,9
128,Dairy,1.94,2
129,Snacks,25.45,6
130,Meat,15.43,4
131,Frozen,8.43,1
132,Frozen,12.15,5
133,Frozen,36.69,7
134,Household,12.68,3
135,Produce,8.41,7
136,Snacks,35.62,10
137,Produce,41.3,1
138,Dairy,21.24,5
139,Snacks,1.12,4
140,Hygiene,6.23,7
141,Pantry,28.71,5
142,Dairy,11.84,1
143,Meat,3.46,2
144,Produce,28.87,4
145,Produce,19.92,4
146,Dairy,16.59,5
147,Pantry,29.82,7
148,Dairy,30.64,7
149,Dairy,17.41,10
150,Frozen,8.71,2
151,Household,1.51,10
152,Dairy,32.06,1
153,Meat,14.91,2
154,Meat,1.01,8
155,Dairy,10.21,8
156,Snacks,10.29,5
157,Hygiene,11.59,10
158,Pantry,6.09,1
159,Pantry,39.09,8
160,Frozen,6.54,6
161,Snacks,12.65,5
162,Meat,4.83,5
163,Produce,14.08,2
164,Frozen,12.7,8
165,Hygiene,10.84,3
166,Household,9.01,3
167,Meat,11.97,7
168,Meat,7.06,5
169,Pantry,3.6,6
170,Dairy,28.04,3
171,Household,3.29,10
172,Pantry,48.11,5
173,Household,7.38,9
174,Snacks,4.69,9
175,Pantry,24.83,5
176,Dairy,38.32,8
177,Hygiene,10.51,2
178,Pantry,44.39,2
179,Frozen,12.85,1
180,Snacks,2.09,5
181,Dairy,49.41,10
182,Household,30.48,8
183,Pantry,37.25,5
184,Produce,19.21,4
185,Household,4.43,1
186,Snacks,15.93,4
187,Hygiene,24.29,1
